구분,입영실통지,입영일자연기,인도,귀가,입영,행방불명,기피
서 울,23285,7955,15291,148,15143,9,30
부산울산,8271,2441,5775,66,5709,23,32
대구경북,9874,2911,6913,88,6825,12,38
경 인,17982,4933,12976,113,12863,15,58
광주전남,7012,1878,5114,50,5064,6,14
대전충남,9591,2524,7024,55,6969,18,25
강 원,2308,600,1703,13,1690,0,5
충 북,3722,893,2817,36,2781,4,8
전 북,4273,1074,3192,21,3171,3,4
경 남,6164,1670,4481,48,4433,4,9
제 주,1688,415,1272,24,1248,1,0
인 천,13942,3917,9964,117,9847,17,44
경기북부,9363,2576,6755,71,6684,13,19
강원영동,1349,378,969,3,966,1,1
